,county,year,unemployment
508,"Seminole County, GA",1990,4.1
509,"Spalding County, GA",1990,5.7
510,"Stephens County, GA",1990,7.3
511,"Stewart County, GA",1990,8.5
512,"Sumter County, GA",1990,8.9
513,"Talbot County, GA",1990,6.9
514,"Taliaferro County, GA",1990,5.3
515,"Tattnall County, GA",1990,4.9
516,"Taylor County, GA",1990,9.0
517,"Telfair County, GA",1990,8.5
518,"Terrell County, GA",1990,8.4
519,"Thomas County, GA",1990,5.0
520,"Tift County, GA",1990,7.3
521,"Toombs County, GA",1990,6.5
522,"Towns County, GA",1990,6.4
523,"Treutlen County, GA",1990,7.6
524,"Troup County, GA",1990,6.1
525,"Turner County, GA",1990,7.9
526,"Twiggs County, GA",1990,6.1
527,"Union County, GA",1990,4.5
528,"Upson County, GA",1990,5.6
529,"Walker County, GA",1990,6.4
530,"Walton County, GA",1990,6.8
531,"Ware County, GA",1990,6.1
532,"Warren County, GA",1990,8.5
533,"Washington County, GA",1990,5.9
534,"Wayne County, GA",1990,6.5
535,"Webster County, GA",1990,8.1
536,"Wheeler County, GA",1990,7.3
537,"White County, GA",1990,4.7
538,"Whitfield County, GA",1990,5.4
539,"Wilcox County, GA",1990,4.9
540,"Wilkes County, GA",1990,5.4
541,"Wilkinson County, GA",1990,4.0
542,"Worth County, GA",1990,6.1
543,"Hawaii County, HI",1990,3.9
544,"Honolulu County/city, HI",1990,2.1
545,"Kauai County, HI",1990,3.9
546,"Maui County, HI",1990,4.6
547,"Ada County, ID",1990,3.7
548,"Adams County, ID",1990,12.0
549,"Bannock County, ID",1990,6.9
550,"Bear Lake County, ID",1990,5.3
551,"Benewah County, ID",1990,10.8
552,"Bingham County, ID",1990,5.4
553,"Blaine County, ID",1990,3.0
554,"Boise County, ID",1990,5.8
555,"Bonner County, ID",1990,9.2
556,"Bonneville County, ID",1990,3.6
557,"Boundary County, ID",1990,8.8
558,"Butte County, ID",1990,4.3
559,"Camas County, ID",1990,6.1
560,"Canyon County, ID",1990,6.4
561,"Caribou County, ID",1990,4.8
562,"Cassia County, ID",1990,7.2
563,"Clark County, ID",1990,2.7
564,"Clearwater County, ID",1990,13.1
565,"Custer County, ID",1990,4.5
566,"Elmore County, ID",1990,5.7
567,"Franklin County, ID",1990,3.4
568,"Fremont County, ID",1990,8.1
569,"Gem County, ID",1990,6.6
570,"Gooding County, ID",1990,3.9
571,"Idaho County, ID",1990,8.4
572,"Jefferson County, ID",1990,5.1
573,"Jerome County, ID",1990,4.6
574,"Kootenai County, ID",1990,7.5
575,"Latah County, ID",1990,4.8
576,"Lemhi County, ID",1990,7.8
577,"Lewis County, ID",1990,7.8
578,"Lincoln County, ID",1990,3.6
579,"Madison County, ID",1990,4.4
580,"Minidoka County, ID",1990,7.0
581,"Nez Perce County, ID",1990,3.9
582,"Oneida County, ID",1990,3.2
583,"Owyhee County, ID",1990,4.8
584,"Payette County, ID",1990,8.5
585,"Power County, ID",1990,8.6
586,"Shoshone County, ID",1990,9.3
587,"Teton County, ID",1990,4.0
588,"Twin Falls County, ID",1990,4.5
589,"Valley County, ID",1990,8.4
590,"Washington County, ID",1990,9.7
591,"Adams County, IL",1990,4.8
592,"Alexander County, IL",1990,12.0
593,"Bond County, IL",1990,7.3
594,"Boone County, IL",1990,6.9
595,"Brown County, IL",1990,6.1
596,"Bureau County, IL",1990,5.3
597,"Calhoun County, IL",1990,10.6
598,"Carroll County, IL",1990,5.2
599,"Cass County, IL",1990,8.3
600,"Champaign County, IL",1990,2.9
601,"Christian County, IL",1990,4.9
602,"Clark County, IL",1990,7.0
603,"Clay County, IL",1990,9.4
604,"Clinton County, IL",1990,6.1
605,"Coles County, IL",1990,5.3
606,"Cook County, IL",1990,7.1
607,"Crawford County, IL",1990,8.6
608,"Cumberland County, IL",1990,8.6
609,"DeKalb County, IL",1990,4.8
610,"De Witt County, IL",1990,5.4
611,"Douglas County, IL",1990,4.1
612,"DuPage County, IL",1990,3.9
613,"Edgar County, IL",1990,7.5
614,"Edwards County, IL",1990,6.3
615,"Effingham County, IL",1990,6.5
616,"Fayette County, IL",1990,8.6
617,"Ford County, IL",1990,4.1
618,"Franklin County, IL",1990,13.4
619,"Fulton County, IL",1990,7.9
620,"Gallatin County, IL",1990,8.1
621,"Greene County, IL",1990,5.6
622,"Grundy County, IL",1990,8.8
623,"Hamilton County, IL",1990,9.7
624,"Hancock County, IL",1990,4.8
625,"Hardin County, IL",1990,8.1
626,"Henderson County, IL",1990,5.8
627,"Henry County, IL",1990,5.3
628,"Iroquois County, IL",1990,4.7
629,"Jackson County, IL",1990,6.1
630,"Jasper County, IL",1990,5.6
631,"Jefferson County, IL",1990,10.1
632,"Jersey County, IL",1990,5.5
633,"Jo Daviess County, IL",1990,4.1
634,"Johnson County, IL",1990,10.4
635,"Kane County, IL",1990,5.8
636,"Kankakee County, IL",1990,6.3
637,"Kendall County, IL",1990,4.4
638,"Knox County, IL",1990,6.2
639,"Lake County, IL",1990,3.7
640,"LaSalle County, IL",1990,7.9
641,"Lawrence County, IL",1990,8.3
642,"Lee County, IL",1990,4.7
643,"Livingston County, IL",1990,3.0
